"","name","n"
"1","Helianthus agrestis",162
"2","Helianthus angustifolius",3137
"3","Helianthus annuus",66105
"4","Helianthus anomalus",279
"5","Helianthus arizonensis",56
"6","Helianthus atrorubens",1111
"7","Helianthus californicus",1068
"8","Helianthus carnosus",98
"9","Helianthus ciliaris",1450
"10","Helianthus cusickii",818
"11","Helianthus debilis",3422
"12","Helianthus decapetalus",3386
"13","Helianthus deserticola",221
"14","Helianthus divaricatus",4480
"15","Helianthus eggertii",546
"16","Helianthus exilis",1741
"17","Helianthus floridanus",275
"18","Helianthus giganteus",2884
"19","Helianthus glaucophyllus",204
"20","Helianthus gracilentus",3772
"21","Helianthus grosseserratus",2680
"22","Helianthus heterophyllus",703
"23","Helianthus hirsutus",7049
"24","Helianthus laciniatus",397
"25","Helianthus laevigatus",350
"26","Helianthus longifolius",83
"27","Helianthus maximiliani",4819
"28","Helianthus mollis",2055
"29","Helianthus neglectus",241
"30","Helianthus niveus",1372
"31","Helianthus nuttallii",3203
"32","Helianthus occidentalis",2055
"33","Helianthus paradoxus",201
"34","Helianthus pauciflorus",5741
"35","Helianthus petiolaris",8610
"36","Helianthus porteri",217
"37","Helianthus praecox",522
"38","Helianthus pumilus",987
"39","Helianthus radula",865
"40","Helianthus resinosus",538
"41","Helianthus salicifolius",727
"42","Helianthus schweinitzii",375
"43","Helianthus silphioides",361
"44","Helianthus simulans",336
"45","Helianthus smithii",91
"46","Helianthus tuberosus",30503
"47","Helianthus winteri",21
